category_id,category_name,url,status_code,content_type,parseable,priority,notes
1,СОВЕТСКИЕ КОМАНДИРЫ,https://ru.wikipedia.org/wiki/Список_Маршалов_Советского_Союза,200,text/html,requests+bs4,MED,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://en.wikipedia.org/wiki/Marshal_of_the_Soviet_Union,200,text/html,requests+bs4,MED,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://dic.academic.ru/dic.nsf/ruwiki/1633564,200,text/html,requests+bs4,LOW,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://megabook.ru/article/Список%20Маршалов%20Советского%20Союза,404,text/html,dead,LOW,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://ru.wikipedia.org/wiki/Категория:Генералы_армии_(СССР,404,text/html,dead,MED,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://gossluzhba.narod.ru/ranks/vz_ussr_1935_1945.html,200,text/html,requests+bs4,LOW,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://dic.academic.ru/dic.nsf/ruwiki/685517,200,text/html,requests+bs4,LOW,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://m.fishki.net/1935979-komandujuwie-frontami-velikoj-otechestvennoj-vojny.html,200,text/html,requests+bs4,LOW,
1,СОВЕТСКИЕ КОМАНДИРЫ,http://battlefield.ru/library/bookshelf/stats/stat5.html,200,text/html,requests+bs4,LOW,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://rt82.ru/en/security/kurskaya-bitva-sobytiya-kratko-spisok-komanduyushchih-frontami-i-suhoputnymi-armiyami-prinimavshimi-uchastie,200,text/html,requests+bs4,LOW,
1,СОВЕТСКИЕ КОМАНДИРЫ,http://militera.lib.ru/enc/komandarmy/index.html,200,text/html,requests+bs4,HIGH,
1,СОВЕТСКИЕ КОМАНДИРЫ,http://militera.lib.ru/enc/zalessky_ka05/index.html,200,text/html,requests+bs4,HIGH,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://ru.wikipedia.org/wiki/Список_Героев_Советского_Союза,200,text/html,requests+bs4,MED,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://en.wikipedia.org/wiki/Hero_of_the_Soviet_Union,200,text/html,requests+bs4,MED,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://ru.wikipedia.org/wiki/Список_дважды_Героев_Советского_Союза,404,text/html,dead,MED,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://ru.wikipedia.org/wiki/Список_трижды_Героев_Советского_Союза,404,text/html,dead,MED,
1,СОВЕТСКИЕ КОМАНДИРЫ,https://rkka.wiki/index.php/РККА:Сокращения,200,text/html,requests+bs4,LOW,
